Cellid,X,Y,W,H,cX,cY,Aera
6961,7591,3288,1,1,7591,3288,1
6962,8225,3288,1,1,8225,3288,1
6963,9038,3288,1,1,9038,3288,1
6964,9936,3289,1,1,9936,3289,1
6965,10216,3289,1,1,10216,3289,1
6966,10219,3288,1,1,10219,3288,1
6967,10295,3288,1,2,10295,3288.5,2
6968,10600,3288,1,1,10600,3288,1
6969,10603,3288,1,1,10603,3288,1
6970,4258,3291,2,2,4258.5,3291.5,2
6971,4275,3291,1,1,4275,3291,1
6972,4277,3291,1,1,4277,3291,1
6973,4295,3290,1,1,4295,3290,1
6974,4953,3290,1,1,4953,3290,1
6975,4955,3291,1,1,4955,3291,1
6976,5931,3290,1,1,5931,3290,1
6977,5936,3291,1,1,5936,3291,1
6978,5990,3291,2,1,5990.5,3291,2
6979,6830,3291,1,1,6830,3291,1
6980,7161,3291,1,1,7161,3291,1
6981,9940,3290,1,1,9940,3290,1
6982,10259,3291,1,1,10259,3291,1
6983,3820,3293,1,1,3820,3293,1
6984,5076,3293,1,1,5076,3293,1
6985,7167,3292,2,1,7167.5,3292,2
6986,9936,3292,2,2,9936.5,3292.5,2
6987,10600,3293,2,1,10600.5,3293,2
6988,10786,3292,2,2,10786.5,3292.5,4
6989,10790,3292,2,2,10790.5,3292.5,4
6990,10795,3292,1,1,10795,3292,1
6991,10797,3292,1,1,10797,3292,1
6992,10810,3293,2,1,10810.5,3293,2
6993,7537,3294,1,2,7537,3294.5,2
6994,8300,3294,2,2,8300.5,3294.5,4
6995,10272,3295,1,1,10272,3295,1
6996,10600,3295,1,1,10600,3295,1
6997,10808,3295,1,1,10808,3295,1
6998,10820,3295,1,1,10820,3295,1
6999,1513,3296,1,1,1513,3296,1
7000,1515,3296,1,1,1515,3296,1
7001,1517,3296,9,11,1520.898305,3302.152542,59
7002,4305,3297,1,1,4305,3297,1
7003,5079,3296,1,1,5079,3296,1
7004,6831,3297,1,2,6831,3297.5,2
7005,9034,3296,2,1,9034.5,3296,2
7006,9939,3297,1,1,9939,3297,1
7007,10209,3296,1,1,10209,3296,1
7008,10646,3296,2,2,10646.5,3296.5,4
7009,10653,3296,1,1,10653,3296,1
7010,13011,3297,3,2,13012,3297.333333,3
7011,1512,3299,1,1,1512,3299,1
7012,1526,3298,1,1,1526,3298,1
7013,1532,3298,2,2,1532.5,3298.5,4
7014,3776,3298,2,1,3776.5,3298,2
7015,9033,3299,1,2,9033,3299.5,2
7016,10209,3298,4,1,10210.5,3298,4
7017,10274,3298,1,1,10274,3298,1
7018,10648,3299,1,2,10648,3299.5,2
7019,10654,3299,2,1,10654.5,3299,2
7020,5912,3301,1,1,5912,3301,1
