,Cellid,X,Y,W,H,cX,cY,Aera
22469,22469,8310,9136,2,2,8310.5,9136.5,2
22470,22470,8315,9136,1,1,8315.0,9136.0,1
22471,22471,8326,9136,1,1,8326.0,9136.0,1
22472,22472,9064,9136,1,1,9064.0,9136.0,1
22473,22473,9069,9136,1,2,9069.0,9136.5,2
22474,22474,11820,9137,1,1,11820.0,9137.0,1
22475,22475,11822,9137,1,2,11822.0,9137.5,2
22476,22476,5759,9139,1,1,5759.0,9139.0,1
22477,22477,5774,9139,1,1,5774.0,9139.0,1
22478,22478,5810,9139,1,1,5810.0,9139.0,1
22479,22479,6411,9138,3,2,6412.2,9138.6,5
22480,22480,6659,9139,5,4,6661.0,9140.714285714286,14
22481,22481,8303,9138,49,62,8326.791357191087,9172.25860904794,1481
22482,22482,8775,9139,1,1,8775.0,9139.0,1
22483,22483,9068,9139,1,2,9068.0,9139.5,2
22484,22484,9071,9138,1,1,9071.0,9138.0,1
22485,22485,9849,9138,1,1,9849.0,9138.0,1
22486,22486,5409,9141,1,1,5409.0,9141.0,1
22487,22487,5715,9140,1,1,5715.0,9140.0,1
22488,22488,5743,9141,1,1,5743.0,9141.0,1
22489,22489,5763,9140,1,1,5763.0,9140.0,1
22490,22490,6401,9141,1,2,6401.0,9141.5,2
22491,22491,6418,9140,1,1,6418.0,9140.0,1
22492,22492,6450,9140,2,2,6450.5,9140.5,4
22493,22493,8772,9141,1,1,8772.0,9141.0,1
22494,22494,8777,9141,1,1,8777.0,9141.0,1
22495,22495,9065,9140,1,1,9065.0,9140.0,1
22496,22496,9070,9140,1,1,9070.0,9140.0,1
22497,22497,9568,9140,2,2,9568.333333333334,9140.666666666666,3
22498,22498,9577,9140,1,1,9577.0,9140.0,1
22499,22499,9918,9141,1,1,9918.0,9141.0,1
22500,22500,11822,9141,1,2,11822.0,9141.5,2
22501,22501,5745,9142,36,33,5761.721583652618,9158.330779054917,783
22502,22502,5783,9142,1,1,5783.0,9142.0,1
22503,22503,5808,9142,2,2,5808.5,9142.5,4
22504,22504,5811,9143,1,1,5811.0,9143.0,1
22505,22505,8772,9143,1,1,8772.0,9143.0,1
22506,22506,9575,9143,2,1,9575.5,9143.0,2
22507,22507,9579,9143,1,1,9579.0,9143.0,1
22508,22508,9604,9143,1,1,9604.0,9143.0,1
22509,22509,11820,9142,1,1,11820.0,9142.0,1
22510,22510,5412,9144,2,2,5412.5,9144.5,4
22511,22511,5744,9144,1,1,5744.0,9144.0,1
22512,22512,5809,9145,1,1,5809.0,9145.0,1
22513,22513,6511,9144,1,1,6511.0,9144.0,1
22514,22514,6673,9144,1,1,6673.0,9144.0,1
22515,22515,6650,9145,50,61,6674.48590021692,9175.096312364425,2305
22516,22516,6687,9144,3,1,6688.0,9144.0,3
22517,22517,8143,9145,1,1,8143.0,9145.0,1
22518,22518,8290,9144,1,1,8290.0,9144.0,1
22519,22519,8292,9144,2,2,8292.5,9144.5,4
22520,22520,8776,9144,1,1,8776.0,9144.0,1
22521,22521,5497,9146,2,1,5497.5,9146.0,2
22522,22522,5501,9146,1,1,5501.0,9146.0,1
22523,22523,5745,9146,1,1,5745.0,9146.0,1
22524,22524,5810,9147,1,1,5810.0,9147.0,1
22525,22525,6395,9147,1,1,6395.0,9147.0,1
22526,22526,8288,9147,1,1,8288.0,9147.0,1
22527,22527,8316,9147,1,1,8316.0,9147.0,1
22528,22528,8776,9146,1,1,8776.0,9146.0,1
